T;NEOS;UNG;FPOE;WBER;SPOE;ABG;SLP;SPR;WWW;WV;WIFF;WK;GFW;BZ;OEVP;M;GRUE;FREIE;ANDAS
4;10;14;147;800;234;460;0;14;0;1;0;5;24;10;14;0;17;0;0
4;60;38;158;896;208;688;0;19;0;1;0;9;0;14;136;0;86;0;2
4;43;5;77;766;174;446;0;20;1;1;0;1;3;6;50;0;90;0;3
4;18;19;272;737;186;523;0;118;3;1;0;5;0;10;8;0;14;0;3
4;12;7;87;599;185;354;0;20;1;1;0;1;2;5;31;0;24;0;5
4;24;2;98;649;132;339;0;33;0;1;0;4;5;3;32;0;38;0;8
4;49;5;129;827;185;500;0;24;0;1;0;14;1;19;76;0;51;0;4
4;7;9;114;450;138;300;0;27;2;1;0;17;6;22;10;0;11;0;3
4;8;9;203;843;188;454;0;77;0;1;0;3;2;2;19;0;23;0;2
4;26;12;169;923;278;598;0;65;2;1;0;11;14;16;48;0;40;0;9
4;36;14;146;933;180;546;0;10;1;1;0;7;4;12;56;0;98;0;11
4;17;3;168;724;182;436;0;7;1;1;6;16;0;21;28;0;29;0;2
4;27;25;200;918;310;634;0;99;0;1;0;17;0;22;36;1;33;0;2
4;9;6;186;559;169;404;0;86;1;1;0;18;5;23;16;0;7;0;5
4;69;18;117;1033;227;613;0;40;0;1;0;4;1;3;91;0;80;0;10
4;609;54;1345;0;1983;6060;0;46;12;1;0;8;8;13;1342;0;674;0;33
4;48;22;98;934;198;512;0;21;0;1;0;1;1;4;62;0;77;0;6
4;26;17;144;602;185;450;0;7;1;1;0;18;0;23;34;0;40;0;3
4;15;11;249;903;203;528;0;69;0;1;0;6;16;11;16;0;14;0;4
4;17;10;215;780;219;512;0;51;0;1;0;17;8;22;22;1;17;0;3
4;8;26;246;1086;258;593;0;1;1;1;0;10;15;15;15;0;21;0;3
4;9;39;233;1116;268;608;0;44;0;1;0;7;30;12;12;0;13;0;4
4;36;12;166;839;209;545;0;60;1;1;0;7;5;12;61;0;46;0;9
4;19;13;67;520;135;324;0;32;0;1;0;3;1;2;26;0;60;0;3
4;7;26;134;652;198;405;0;5;1;1;9;16;0;21;17;0;12;0;1
4;15;8;106;522;89;278;0;51;1;1;0;5;9;10;17;0;23;0;10
4;32;12;149;866;189;541;0;49;0;1;0;7;4;12;85;0;62;0;8
4;9;1;46;401;111;250;0;140;0;1;0;5;0;10;13;0;66;0;4
4;9;8;85;512;109;280;0;10;0;1;0;11;3;16;12;0;47;0;7
4;48;18;112;857;178;533;0;24;0;1;0;2;0;9;56;0;112;0;9
4;10;14;84;416;111;266;0;71;0;1;0;11;1;16;17;0;26;0;3
4;6;15;282;1142;195;541;0;102;0;1;0;5;9;10;15;0;12;0;7
4;19;5;137;838;194;418;0;5;1;1;0;10;17;15;21;0;21;0;3
4;24;14;168;678;212;516;0;10;1;1;0;18;0;23;43;0;51;0;3
4;19;13;260;880;195;543;0;60;1;1;0;17;4;22;27;0;18;0;6
4;15;15;234;940;169;524;0;31;2;1;0;5;25;10;19;0;40;0;5
4;24;12;135;864;195;486;0;57;0;1;0;15;17;20;15;0;80;0;8
4;13;18;214;821;184;489;0;12;0;1;9;16;1;21;22;0;23;0;5
4;26;4;129;654;173;426;0;61;2;1;0;7;1;12;33;0;53;0;5
4;64;10;102;811;186;531;0;70;1;1;0;14;3;19;110;0;54;0;1
4;14;6;244;821;184;494;0;52;0;1;0;6;21;11;12;0;11;0;2
4;9;12;134;748;173;379;0;24;0;1;0;5;27;10;8;0;13;0;3
4;39;13;52;559;113;336;0;8;1;1;0;14;0;19;64;0;49;0;5
4;33;10;147;823;173;512;0;50;0;1;0;7;3;12;75;0;65;0;6
4;90;6;123;793;153;560;0;26;2;1;0;18;0;23;130;0;52;0;4
4;19;22;109;801;156;438;0;49;3;1;0;10;14;15;25;0;82;0;8
4;26;7;166;864;150;448;0;47;0;1;0;9;3;14;20;0;65;0;11
4;14;6;167;735;155;421;0;48;1;1;0;11;7;16;28;0;42;0;1
4;38;36;281;1126;256;726;0;45;3;1;0;7;8;12;53;0;44;0;7
4;56;2;80;585;110;391;0;61;0;1;0;14;0;19;91;0;51;0;1
4;27;19;168;893;161;456;0;45;0;1;0;5;14;10;23;0;41;0;3
4;57;26;154;778;171;568;0;30;1;1;0;9;0;14;93;0;57;0;9
4;30;10;162;798;207;500;0;65;3;1;0;14;9;19;47;0;28;0;4
4;40;13;138;910;191;521;0;4;1;1;0;8;2;13;58;0;67;0;11
4;8;1;46;0;80;179;0;0;0;1;0;15;0;20;19;0;23;0;2
4;37;5;76;760;164;463;0;20;0;1;0;2;0;8;52;0;117;0;12
4;0;0;0;0;0;0;0;142;0;1;0;5;0;10;0;0;0;0;0
4;34;4;92;791;169;457;0;10;0;1;0;1;0;6;51;0;100;1;6
4;34;19;102;713;141;386;0;33;3;1;0;14;1;19;52;0;30;0;4
4;22;26;282;897;218;609;0;33;2;1;0;6;2;11;28;0;23;0;6
4;24;11;112;673;176;414;0;149;0;1;0;17;1;22;52;1;34;0;3
4;28;3;75;622;137;353;0;49;0;1;0;4;0;3;49;0;58;0;3
4;5;16;204;829;200;497;0;29;0;1;0;5;42;10;14;0;14;0;2
4;21;3;118;750;176;416;0;43;0;1;0;5;11;10;35;0;46;0;6
4;20;2;93;608;140;365;0;37;0;1;0;7;9;12;44;0;56;0;1
4;15;18;171;496;116;375;0;79;0;1;0;11;1;16;34;0;18;0;2
4;13;21;174;910;207;483;0;52;0;1;0;15;7;20;23;0;34;0;4
4;27;22;287;970;258;674;0;68;0;1;8;16;1;21;30;0;36;0;5
4;24;21;154;731;140;447;0;32;3;1;0;9;3;14;61;0;38;0;3
4;30;17;99;847;237;568;0;32;0;1;0;10;2;15;32;0;143;0;8
4;21;7;147;932;228;537;0;6;1;1;0;10;7;15;29;0;85;0;12
4;7;0;19;0;40;95;0;0;0;1;0;2;0;7;8;0;21;0;0
4;59;4;67;591;96;377;0;14;0;1;0;14;0;19;80;0;71;0;0
4;61;10;116;891;150;572;0;38;0;1;0;8;1;13;149;0;82;0;3
4;11;15;196;704;220;488;0;77;0;1;0;17;1;22;21;0;19;0;5
4;21;8;150;575;125;353;0;70;0;1;0;6;10;11;15;0;20;0;4
4;34;10;139;654;206;478;0;109;0;1;0;17;0;22;45;1;39;0;4
4;16;6;249;952;203;508;0;22;0;1;0;17;8;22;17;0;7;0;2
4;13;28;344;1102;193;622;0;114;1;1;14;16;2;21;11;0;12;0;4
4;24;3;116;644;140;389;0;55;0;1;0;14;1;19;55;0;43;0;7
4;39;5;170;787;158;515;0;3;0;1;0;8;2;13;83;0;50;0;8
4;41;28;240;1077;279;693;0;58;2;1;0;18;2;23;40;0;51;0;10
4;69;11;131;959;205;613;0;32;2;1;0;8;0;13;115;0;78;0;2
4;34;12;349;998;227;722;0;135;6;1;0;5;9;10;44;0;37;0;4
4;53;30;188;1102;288;680;0;18;3;1;0;9;3;14;73;0;40;0;2
4;13;8;311;1010;235;619;0;77;1;1;5;16;14;21;20;0;9;0;3
4;31;7;125;820;225;498;0;22;3;1;0;6;4;11;13;0;80;0;10
4;21;15;122;805;181;455;0;38;0;1;0;10;2;15;30;0;75;0;9
4;39;12;92;687;123;406;0;11;0;1;0;13;4;18;57;0;72;0;7
4;32;4;81;542;138;351;0;48;0;1;0;3;1;2;34;0;59;0;2
4;23;10;182;834;195;485;0;63;0;1;0;5;7;10;29;0;34;0;5
4;29;7;246;999;222;627;0;21;1;1;0;12;15;17;34;0;65;0;8
4;30;7;142;934;210;537;0;28;0;1;0;1;1;6;43;0;88;4;12
4;30;23;277;1101;279;717;0;11;2;1;17;16;6;21;39;0;41;0;3
4;9;38;264;1084;323;700;0;122;1;1;0;5;10;10;34;0;16;0;5
4;5;14;165;473;55;266;0;44;1;1;0;11;0;16;21;0;4;0;1
4;27;15;154;673;181;490;0;112;1;1;12;16;0;21;60;0;34;0;6
4;14;12;159;751;165;428;2;17;1;1;0;15;8;20;23;0;42;0;2
4;26;12;125;787;198;450;0;4;5;1;0;14;1;19;36;0;41;0;6
4;7;14;122;649;205;401;0;70;0;1;0;3;21;2;19;0;11;0;2
4;19;11;77;785;180;404;0;19;0;1;0;11;2;16;21;0;88;0;6
4;86;10;130;909;160;590;0;39;0;1;0;13;0;18;148;0;53;0;3
4;7;5;152;694;168;369;0;18;1;1;0;17;4;22;12;0;19;0;1
4;20;3;38;485;123;291;0;10;0;1;0;3;0;2;13;0;89;0;5
4;16;1;46;664;149;345;0;6;0;1;0;11;9;16;19;0;93;0;12
4;41;29;283;1066;308;791;0;109;1;1;16;16;0;21;51;0;53;0;9
4;19;14;221;825;228;557;0;19;1;1;0;17;2;22;42;0;29;0;1
4;28;9;70;501;110;308;0;3;0;1;0;2;1;8;35;0;51;0;4
4;28;11;259;1038;296;727;0;13;3;1;0;17;2;22;62;2;62;0;2
4;21;12;227;1072;335;686;0;78;3;1;0;17;3;22;42;0;34;0;9
4;20;13;193;696;158;470;0;74;0;1;0;17;6;22;36;0;40;0;4
4;50;6;91;841;187;499;0;12;0;1;0;4;1;3;71;0;89;0;4
4;7;22;70;401;134;313;0;57;0;1;0;14;0;19;75;0;5;0;0
4;46;14;101;989;239;622;0;13;3;1;0;13;1;18;88;0;124;0;6
4;20;30;184;623;122;435;0;134;0;1;0;5;2;10;43;0;32;0;2
4;44;22;203;1136;248;657;0;26;2;1;0;12;3;17;50;0;77;0;8
4;11;10;248;888;192;514;0;13;0;1;11;16;5;21;19;0;16;0;2
4;38;13;163;770;199;550;0;117;1;1;7;16;0;21;80;0;46;0;3
4;20;6;191;919;228;543;0;20;0;1;0;7;3;12;31;0;58;0;6
4;11;1;45;319;61;171;0;60;1;1;0;3;0;2;9;0;41;0;2
4;61;13;126;832;138;507;0;26;2;1;0;13;1;18;84;0;77;0;5
4;0;0;0;0;0;0;0;156;0;1;0;17;0;22;0;0;0;0;0
4;16;26;222;817;267;558;0;106;0;1;0;5;0;10;15;0;11;0;1
4;44;10;86;715;128;387;0;1;0;1;0;1;0;1;75;0;40;0;4
4;31;26;326;883;183;637;0;51;1;1;0;6;1;11;44;0;22;0;3
4;29;17;180;955;243;596;0;30;0;1;0;13;0;18;85;0;39;0;3
4;14;5;76;520;105;289;0;6;0;1;0;3;3;2;26;0;56;0;4
4;18;30;176;943;272;620;0;12;4;1;0;9;1;14;71;0;44;0;4
4;30;11;212;882;239;614;0;93;1;1;0;5;1;10;68;0;48;0;4
4;12;29;314;1041;215;626;0;104;1;1;18;16;6;21;18;0;5;0;8
4;42;4;161;649;158;484;0;34;1;1;0;9;1;14;73;0;43;0;1
4;38;18;91;632;179;431;0;6;0;1;0;17;0;22;25;0;79;0;1
4;22;15;193;711;206;505;0;31;1;1;0;17;1;22;34;3;24;0;6
4;18;14;160;754;184;452;0;37;1;1;0;6;9;11;24;0;38;0;4
4;10;42;259;983;240;602;0;80;0;1;10;16;10;21;16;0;14;0;1
4;13;10;106;534;149;311;0;97;0;1;0;5;6;10;10;0;13;0;4
4;12;8;143;544;138;350;0;82;2;1;0;11;6;16;19;0;19;0;3
4;17;9;219;879;216;498;0;9;3;1;0;6;6;11;13;0;12;0;3
4;17;2;55;548;125;272;0;40;0;1;0;3;5;2;9;0;56;0;3
4;14;6;130;467;111;311;0;75;1;1;0;17;2;22;19;0;24;0;4
4;13;18;200;774;187;454;0;44;0;1;0;6;8;11;16;0;11;0;1
4;32;11;92;756;155;445;0;1;1;1;0;13;5;18;49;0;95;0;5
4;13;36;279;891;217;593;0;134;2;1;0;17;11;22;21;0;8;0;6
4;15;17;238;946;268;607;0;31;2;1;7;16;2;21;33;0;25;0;0
4;7;6;130;632;144;341;0;6;3;1;0;7;6;12;12;0;26;0;7
4;44;8;83;641;136;400;0;15;0;1;0;14;0;19;77;0;51;0;1
4;374;33;587;0;1391;3834;0;31;1;1;0;2;1;7;401;0;992;0;54
4;9;11;169;712;200;451;0;121;1;1;0;5;31;10;14;0;14;0;2
4;8;11;77;449;150;287;0;54;0;1;0;7;0;12;36;0;5;0;0
4;67;6;213;1004;233;726;0;56;1;1;0;9;0;14;122;0;78;0;6
4;19;17;219;871;177;498;0;26;2;1;0;6;9;11;26;0;25;0;4
4;69;3;142;869;178;535;0;32;1;1;0;12;1;17;74;0;64;0;3
4;26;24;184;793;241;556;0;67;1;1;7;16;0;21;38;0;34;0;1
4;45;15;148;711;130;453;0;27;1;1;0;18;0;23;72;0;40;0;2
4;19;2;91;578;130;320;0;59;0;1;0;3;0;2;10;0;61;0;7
4;10;15;188;865;162;415;0;81;1;1;0;5;23;10;3;0;10;0;3
4;34;20;228;930;242;612;0;96;2;1;3;16;5;21;24;0;47;0;7
4;8;5;179;825;175;435;0;48;0;1;0;9;6;14;21;0;40;0;1
4;28;7;129;875;146;436;0;98;3;1;0;3;6;2;17;0;98;0;2
4;8;3;21;0;43;125;0;0;0;1;0;12;0;17;18;0;30;0;2
4;76;14;106;845;171;525;0;9;2;1;0;14;0;19;87;0;67;0;2
4;51;7;94;882;158;525;0;16;2;1;0;13;0;18;95;0;117;0;1
4;24;8;192;714;191;467;0;62;0;1;0;17;2;22;29;1;18;0;2
4;19;24;100;848;169;452;2;4;1;1;0;15;25;20;8;0;97;0;7
4;23;25;137;838;197;477;0;66;1;1;0;14;2;19;59;0;30;0;3
4;43;29;322;1149;282;833;0;16;1;1;4;16;1;21;66;0;81;0;4
4;32;31;229;871;199;637;0;118;0;1;17;16;1;21;78;0;43;0;7
4;27;25;135;658;174;445;0;65;1;1;0;7;0;12;42;0;33;0;8
4;16;9;117;586;165;371;0;74;0;1;0;11;22;16;23;0;15;0;4
4;28;8;95;580;127;318;0;124;0;1;0;16;0;21;20;0;38;0;2
4;24;3;139;966;236;527;0;20;1;1;0;12;3;17;38;0;76;0;7
4;36;7;55;641;149;400;0;11;0;1;0;2;1;7;37;0;110;0;5
4;34;10;72;657;145;337;0;17;2;1;0;3;0;2;21;0;48;0;5
4;32;39;252;1186;365;817;0;63;0;1;0;7;8;12;74;0;40;0;7
4;22;11;142;849;171;479;0;18;0;1;0;11;7;16;26;0;88;0;12
4;14;17;266;898;211;569;0;135;2;1;0;17;25;22;23;1;10;0;0
4;0;0;0;0;0;0;0;84;0;1;0;11;0;16;0;0;0;0;0
4;15;9;209;985;212;507;0;42;2;1;0;7;21;12;11;0;21;0;7
4;5;13;199;724;165;411;0;35;1;1;3;16;2;21;6;0;12;0;5
4;14;3;57;372;64;195;0;68;0;1;0;3;2;2;18;0;34;0;3
4;547;77;1525;0;3398;8221;0;105;23;1;0;3;25;2;752;0;1751;0;123
4;26;20;319;880;194;671;0;130;0;1;0;17;0;22;70;0;38;0;4
4;9;19;182;664;193;446;0;53;2;1;0;17;3;22;22;0;14;0;2
4;14;19;207;843;177;471;0;137;2;1;0;17;17;22;20;1;8;0;6
4;60;21;150;810;171;542;0;35;1;1;0;18;0;23;94;0;41;0;4
4;32;36;257;975;230;631;0;50;2;1;0;17;4;22;31;0;35;0;4
4;42;6;71;707;171;437;0;9;0;1;0;2;1;9;49;0;90;0;7
4;20;12;150;865;195;513;1;6;1;1;0;15;7;20;56;0;70;0;1
4;9;29;195;831;211;485;0;128;0;1;0;5;17;10;20;0;2;0;2
4;48;3;101;805;112;419;0;5;0;1;0;1;2;1;103;0;44;0;6
4;27;4;64;619;151;379;0;1;0;1;0;1;1;6;38;0;92;0;2
4;32;40;211;788;206;572;0;62;6;1;0;18;5;23;29;0;36;0;7
4;9;2;24;0;36;112;0;0;0;1;0;1;0;4;15;0;26;0;0
4;28;8;209;848;268;597;0;146;1;1;0;17;0;22;42;2;36;0;3
4;7;3;54;405;96;235;0;36;3;1;0;3;4;2;19;0;43;0;6
4;37;12;66;810;178;489;0;13;1;1;0;2;0;7;47;0;141;0;7
4;18;10;69;581;152;351;0;21;0;1;0;3;1;2;22;0;72;0;7
4;43;20;117;893;217;542;0;20;0;1;0;4;6;3;42;0;90;0;7
4;17;10;124;496;105;315;0;100;4;1;0;18;1;23;29;0;24;0;1
4;21;2;43;0;68;166;0;0;0;1;0;14;0;19;14;0;17;0;1
4;66;4;114;1073;205;595;0;22;0;1;0;1;0;4;100;0;98;0;8
4;6;19;218;835;186;483;0;73;1;1;8;16;24;21;7;0;14;0;0
4;0;0;0;0;0;0;0;38;0;1;0;12;0;17;0;0;0;0;0
4;7;10;126;657;145;332;0;26;0;1;0;5;12;10;12;0;17;0;3
4;11;13;136;747;186;417;0;15;1;1;0;5;19;10;18;0;25;0;8
4;8;9;83;657;189;368;0;12;1;1;0;1;2;5;15;0;49;1;11
4;38;20;147;745;176;493;0;12;0;1;0;18;2;23;60;0;46;0;4
4;37;11;241;812;176;609;0;132;2;1;0;5;4;10;92;0;40;0;6
4;13;8;60;528;126;303;0;7;1;1;0;3;1;2;16;0;68;0;10
4;38;5;89;752;169;472;0;21;1;1;0;2;3;7;40;0;125;0;2
4;41;25;223;820;192;548;0;89;0;1;0;17;2;22;23;0;38;0;4
4;34;4;91;830;180;479;0;12;1;1;0;10;1;15;32;0;131;0;5
4;41;10;87;665;103;408;0;16;0;1;0;14;0;19;106;0;55;0;6
4;21;43;162;832;316;596;0;50;0;1;0;18;3;23;24;0;23;0;4
4;71;21;107;935;170;598;0;29;0;1;0;13;1;18;101;0;122;0;5
4;21;9;49;515;107;287;0;16;0;1;0;1;1;1;54;0;40;2;4
4;46;3;142;875;217;560;0;8;1;1;0;4;2;3;44;0;95;0;10
4;18;18;128;781;194;441;0;39;2;1;0;5;18;10;27;0;33;0;3
4;5;20;257;1031;277;636;0;83;0;1;18;16;19;21;30;0;6;0;4
4;40;22;127;1001;158;504;0;8;2;1;0;9;0;14;49;0;105;0;1
4;31;5;78;779;152;401;0;5;1;1;0;12;3;17;37;0;89;0;5
4;33;10;111;585;136;395;0;11;2;1;0;9;0;14;66;0;36;0;1
4;74;8;152;1055;195;701;0;26;0;1;0;8;1;13;157;0;109;0;5
4;34;7;140;920;199;533;0;7;0;1;0;12;3;17;47;0;93;0;10
4;25;9;228;975;255;602;0;25;0;1;0;17;13;22;46;2;24;0;0
4;19;36;133;987;206;541;0;19;1;1;0;1;4;5;47;0;87;1;7
4;34;7;173;761;183;464;0;37;1;1;0;17;4;22;30;0;28;0;4
4;38;31;115;713;155;469;0;76;4;1;0;18;1;23;62;0;56;0;7
4;28;14;160;819;177;508;0;102;0;1;0;17;1;22;43;0;81;0;4
4;38;9;169;1020;228;573;0;32;1;1;0;17;3;22;35;2;74;0;14
4;11;11;151;729;192;400;0;32;0;1;0;15;8;20;17;0;7;0;3
4;18;13;176;690;221;515;0;84;2;1;0;3;1;2;38;0;44;0;2
4;50;10;78;911;200;539;0;23;0;1;0;2;2;9;63;0;131;0;5
4;7;10;308;1102;262;657;0;124;1;1;0;5;20;10;30;0;16;0;3
4;20;16;276;833;215;585;0;90;1;1;12;16;1;21;26;0;16;0;2
4;15;4;130;560;191;407;0;8;2;1;0;18;1;23;43;0;18;0;3
4;7;3;115;568;170;319;0;1;0;1;0;6;11;11;4;0;6;0;3
4;23;6;110;353;75;251;0;98;0;1;0;18;2;23;13;0;20;0;2
4;54;20;95;952;211;563;0;56;1;1;0;4;1;3;96;0;80;0;5
4;10;11;45;414;104;230;0;34;1;1;0;1;3;5;15;0;38;1;2
4;23;5;82;596;155;377;0;13;2;1;0;3;2;2;28;0;75;0;5
4;10;6;102;569;140;343;0;24;2;1;0;11;8;16;22;0;50;0;3
4;12;7;298;945;194;568;0;7;0;1;0;6;15;11;19;0;21;0;2
4;42;14;76;551;99;348;0;68;1;1;0;14;0;19;79;0;34;0;3
4;15;16;122;439;112;310;0;99;0;1;3;16;4;21;23;0;14;0;1
4;46;21;134;678;168;457;0;19;0;1;0;18;0;23;42;0;43;0;3
4;37;5;62;562;106;304;0;18;0;1;0;1;0;1;59;0;33;0;2
4;8;14;130;500;118;304;0;75;1;1;0;18;9;23;15;0;4;0;5
4;13;16;136;689;158;402;0;58;0;1;0;11;5;16;33;0;35;0;6
4;44;26;119;912;191;572;0;20;1;1;0;1;1;4;65;0;117;1;7
4;23;10;54;555;139;339;0;46;2;1;0;3;0;2;34;0;68;0;9
4;19;10;109;787;170;419;0;40;0;1;0;7;3;12;43;0;57;0;8
4;23;34;242;810;173;551;0;66;0;1;11;16;0;21;29;0;36;0;3
4;11;12;161;697;160;410;0;87;1;1;0;5;9;10;40;0;14;0;2
4;31;9;162;848;240;555;0;10;1;1;0;6;6;11;31;0;69;0;6
4;6;17;147;698;158;394;0;50;1;1;0;11;8;16;28;0;25;0;4
4;23;20;99;822;172;424;0;4;0;1;0;7;4;12;27;0;70;0;9
4;22;18;153;905;226;549;0;21;2;1;0;4;1;3;38;0;77;0;12
4;30;15;189;760;230;557;0;52;0;1;18;16;2;21;40;0;32;0;1
4;35;14;113;1030;228;533;0;43;2;1;0;9;15;14;35;0;84;0;7
4;603;77;2161;0;3311;8607;0;70;24;1;0;9;12;14;1109;0;1224;0;86
4;26;7;91;643;145;369;0;47;0;1;0;4;3;3;29;0;61;0;7
4;61;8;167;1053;168;646;0;1;0;1;0;8;1;13;144;0;92;0;5
4;8;15;190;802;195;455;0;20;1;1;0;6;18;11;17;0;6;0;5
4;31;17;166;790;189;512;0;97;0;1;0;18;7;23;46;0;51;0;5
4;25;10;124;752;180;452;0;51;0;1;0;14;5;19;67;0;40;0;1
4;8;8;152;640;132;339;0;8;2;1;0;5;4;10;9;0;21;0;3
